157-198;;;-14;10.4
222-251;;;-36;4.1
255-282;;;-35;5.3
300-327;;;-39;2.6
329-370;;;-30;4.1
382-412;;;-42;1.8
490-511;;;-39;2.3
511-543;;;-34;2.3
685-715;;;-42;1.7
857-888;;;-39;1.9
1028-1059;;;-36;2.7
1204-1229;;;-45;1.9
1374-1404;;;-47;1.4
